Id,Name,Owner name,Hours of operation,Techs per shift,Certified,Lounge area,Supervisor permanently,Languages,Tow track,Complimentary inspection,Vehicle diesel,Vehicle electric,Vehicle warranties,Categories,Location,Address,Phone,Approved,Avatar,Additional info,Average rating,Created at,Updated at
81,Cars R Us Two,Jack,8:00 AM - 8:00 PM,5,true,true,false,"[""English"", ""Spanish""]",true,true,true,true,true,[0],POINT (-95.39175780284657 29.77468771945436),"1431 Studemont St, Houston, TX  77007, United States",+1 (721) 908-5467,true,"",Yup,5.0,2022-08-05 19:15:18 UTC,2022-09-20 14:04:44 UTC
80,Cars R Us,Dylan,9:00 AM - 7:00 PM,5,false,true,true,"[""English"", ""Spanish""]",true,true,true,false,true,"[3, 0, 4]",POINT (-95.34213278846384 30.22666606925623),"Conroe, TX  77302, United States",+7 (217) 890-9090,true,"","",0.0,2022-08-04 15:28:35 UTC,2022-08-04 15:30:45 UTC
79,Vedoc app,Dev Test Account ,10:49 PM - 10:50 AM,5,false,true,false,"[""English""]",false,false,false,false,false,[20],POINT (-95.43133055148338 29.72535730102856),"3502 Bissonnet St, Houston, TX  77005, United States",+1 (818) 747-3820,true,"","",5.0,2022-06-28 15:50:05 UTC,2022-07-15 13:49:50 UTC
77,Mercedes Benz Workshop ,Abdul Wali Kakar,��:��-��:��,10,false,false,false,"[""English"", ""Hindi""]",false,false,true,false,false,[0],POINT (62.1306094 34.407145299999996),"(21�1'G G1'* - '3D'E BD9G, (21�1'G G1'* - '3D'E BD9G, G1'*, G1'*",0093795700173,false,"",,0.0,2022-02-20 11:32:27 UTC,2022-02-20 11:32:27 UTC
76,TestMe,Test3,9:00 AM - 9:00 AM,3,true,false,false,"[""English"", ""Spanish""]",true,false,true,false,false,[2],POINT (-95.36869260543405 29.75963450327963),"Hermann Square, 900 Smith St, Houston, TX  77002, United States",+1 (281) 652-3897,true,"","",0.0,2022-01-23 16:23:01 UTC,2022-01-26 01:46:27 UTC
75,Gm,Subhan,11:19-21:30,10,true,true,true,"[""English"", ""Russian""]",false,true,true,false,true,"[1, 21]",POINT (49.97647250000001 40.3891304),"9XQG+MJ7, Baku",994513032299,false,"",,0.0,2022-01-17 07:20:30 UTC,2022-01-17 07:20:30 UTC
74,AndroidDevLead,Aaron Gahagan,12:00-12:00,1,false,false,false,"[""English""]",true,false,false,false,false,[2],POINT (-92.64647839999999 32.5339165),"515, Everett Street, Ruston, Louisiana, 71270",13185720645,true,"","",0.0,2021-11-22 17:48:43 UTC,2021-11-22 18:10:45 UTC
72,Test,Test,2:23 PM - 2:23 AM,1,true,false,true,"[""English""]",true,true,true,true,false,"[4, 5]",POINT (-76.6803053 39.0403765),"2644 Chapel Lake Dr, Gambrills, MD  21054, United States",+1 (231) 231-2342,false,"","",0.0,2021-08-24 18:24:28 UTC,2021-08-24 18:24:28 UTC
71,R&L Detail,Rafael Nino Mendoza,12:00 PM - 8:00 PM,2,false,false,false,"[""English"", ""Spanish""]",false,false,false,false,false,[1],POINT (-112.0217625445495 33.45924268329939),"1018 N 28th St, Phoenix, AZ  85008, United States",+1 (480) 758-0022,true,https://vedoc-app.s3.amazonaws.com/uploads/shop/avatar/71/avatar.png,"",0.0,2021-08-18 15:46:51 UTC,2021-08-23 02:12:23 UTC
69,Los dos hermanos,Brian,12:30 PM - 7:00 PM,2,false,false,false,"[""English""]",false,false,false,false,false,[1],POINT (-122.457869 38.29196),"Sonoma, CA, United States",+1 (707) 974-2733,true,"",Car detailing great products good prices client satisfaction garanteed,0.0,2021-04-29 05:31:12 UTC,2021-04-29 17:34:09 UTC
